Attraction Name,Category,Destination,Details,Mood,Image,destination_normalized,name_normalized,district_normalized
Victoria Park,Scenic,Nuwara Eliya,"Victoria Park in Nuwara Eliya is a well-manicured colonial-era garden known for its cool climate, rose beds, and streams, sitting in the heart of Sri Lanka's hill-country ""Little England."" It is popular with birdwatchers, as migratory species such as the Kashmir flycatcher and pied thrush can be spotted here in winter. The park's neat lawns and flower displays make it a favourite stop for visitors touring Nuwara Eliya.",Relaxed,,nuwara eliya,victoria park,Nuwara Eliya
Ridee Viharaya,Heritage,Kurunegala,"Ridee Viharaya, or the Silver Temple, is an ancient rock cave temple near Kurunegala believed to date back to the 2nd century BCE, during the reign of King Dutugemunu, after silver ore was reportedly discovered at the site. The temple complex includes several image houses built into and around a large rock outcrop, with reclining and seated Buddha statues, old wall paintings, and a moonstone at its entrance considered one of the finest in the country. It remains an active place of worship and a notable stop on Kurunegala's heritage trail.",Curious,,kurunegala,ridee viharaya,Kurunegala
Lahugala Kitulana Forest Reserve,Wild,Ampara,"Lahugala Kitulana National Park, near Lahugala in Ampara District, is a compact dry-zone park centred on a series of ancient irrigation tanks that attract large herds of elephants, especially during the dry season when the reservoirs shrink and expose fresh grazing grass. Despite its small size, it is considered one of the best places in Sri Lanka to reliably see wild elephants at close range. The park also borders important archaeological sites such as the Lahugala Magul Maha Vihara.",Adventure,,ampara,lahugala kitulana forest reserve,Ampara
Nikayalannuwara Historical Temple,Heritage,Kurunegala,"Nikayalannuwara is a historic temple site in the Kurunegala District associated with the ancient monastic and administrative heritage of the surrounding villages. Like many rural temples in the area, it preserves older shrine structures, Buddha statues, and traditions tied to the region's Kandyan-era Buddhist culture. It remains primarily a local place of worship rather than a major tourist draw.",Curious,,kurunegala,nikayalannuwara historical temple,Kurunegala
Nilavara Bottomless Well,Scenic,Jaffna,"Nilavara, known locally as the ""bottomless well,"" is a natural limestone sinkhole near Jaffna town whose depth has never been definitively measured, giving rise to local legends that it connects underground to distant water sources or even to India. The well has clear turquoise water and is a popular curiosity stop for visitors exploring the Jaffna Peninsula. Local folklore also links the site to King Ravana of the Ramayana epic.",Relaxed,,jaffna,nilavara bottomless well,Jaffna
Udawalawe National Park,Wild,Ratnapura,"Udawalawe National Park, built around the Udawalawe Reservoir on the boundary of Sabaragamuwa and Uva provinces, is one of Sri Lanka's most reliable places to see wild elephants, with resident herds numbering in the hundreds. The park's grasslands and scrub also support water buffalo, sambar deer, crocodiles, and over 200 bird species, and it is home to the Elephant Transit Home, which rehabilitates orphaned elephant calves for release back into the wild. Jeep safaris are the standard way to explore the park.",Adventure,,ratnapura,udawalawe national park,Ratnapura
Neelagiri Stupa,Heritage,Ampara,"The Neelagiri Vehera is an ancient stupa in the Ampara District's Lahugala-Pottuvil area, part of a cluster of Buddhist monastic ruins linked to the ancient Ruhuna kingdom and, according to local chronicles, to King Mahadathika Mahanaga, who is credited with building several monasteries along this coastal belt. Like many sites in the region, it fell into the jungle for centuries before renewed interest in the area's archaeology. It today stands as one of the lesser-visited heritage ruins scattered around Pottuvil.",Curious,,ampara,neelagiri stupa,Ampara
Kalpitiya Beach,Pristine,Kalpitiya,"Kalpitiya is a narrow peninsula on Sri Lanka's northwest coast bordering the Puttalam Lagoon, best known today as the country's top destination for kitesurfing thanks to strong, steady winds especially from May to October. The area also offers dolphin- and whale-watching trips, quiet, undeveloped beaches, and access to nearby coral reefs and the Bar Reef Marine Sanctuary. Its laid-back fishing-village character sets it apart from Sri Lanka's more built-up beach resorts.",Peaceful,,kalpitiya,kalpitiya beach,Kalpitiya
Traditional Village (Ape Gama),Essence,Colombo,"Ape Gama (""Our Village"") is a recreated traditional Sri Lankan village attraction that lets visitors experience rural Sinhalese life, architecture, and crafts as they existed in past generations, typically featuring thatched-roof houses, working paddy fields, traditional cooking demonstrations, and cultural performances. Such village experiences are designed to showcase folk customs, farming methods, and cuisine to both local and foreign visitors in an accessible, curated setting. They are popular half-day excursions offering a taste of countryside life without leaving the city.",Authentic,,colombo,traditional village ape gama,Colombo
Point Pedro,Scenic,Jaffna,"Point Pedro (Sinhala: Parutiyadi Thurai) is the northernmost town in Sri Lanka, on the tip of the Jaffna Peninsula, known for its lighthouse, fishing harbour, and role as a historic trading port. The area has quiet beaches and a strong Tamil cultural heritage, and its lighthouse marks the most northerly point of the island. It is a popular day-trip destination for travelers exploring the Jaffna region.",Relaxed,,jaffna,point pedro,Jaffna
Omunugala Cave Monastery,Heritage,Ampara,"Omunugala is a forest cave hermitage in the Ampara District, part of the wider network of ancient rock monasteries scattered through the dry-zone jungles of Sri Lanka's Eastern Province. Such sites typically feature drip-ledge caves once inhabited by Buddhist monks, along with rock inscriptions and ruined stupas dating back over two thousand years. The site remains a quiet, little-visited spot valued mainly by pilgrims and heritage enthusiasts.",Relaxed,,ampara,omunugala cave monastery,Ampara
Lionel Wendt Art Centre,Essence,Colombo,"The Lionel Wendt Art Centre in Colombo is Sri Lanka's foremost venue for the arts, named after the pioneering photographer, musician, and cultural figure Lionel Wendt. Opened in 1953, it houses an auditorium and gallery space that regularly hosts theatre productions, dance performances, art exhibitions, film screenings, and concerts. It remains a central hub for Colombo's contemporary arts and culture scene.",Authentic,,colombo,lionel wendt art centre,Colombo
Rawana Ella and Ravana Falls,Scenic,Bandarawela,"Ravana Falls (also spelled Rawana Ella) is one of Sri Lanka's widest waterfalls, cascading about 25 metres near the town of Ella, and is easily visible from the main road, making it one of the most accessible falls in the hill country. It is named after the legendary demon-king Ravana of the Ramayana epic, who according to local folklore hid Sita in a cave near the falls. The site is especially dramatic during the rainy season and is a popular photo stop for travelers heading to or from Ella.",Relaxed,,bandarawela,rawana ella and ravana falls,Bandarawela
Negombo,Pristine,Negombo,"Negombo is a lively coastal town close to Colombo's international airport, known for its long sandy beach, Dutch colonial canal network, and a large fishing community centred on its bustling fish market. Its historic Dutch fort gate, St. Mary's Church, and Catholic heritage reflect centuries of Portuguese and Dutch influence, earning it the nickname ""Little Rome."" Its proximity to the airport makes it a common first or last stop for visitors to Sri Lanka.",Peaceful,,negombo,negombo,Negombo
Habuthala Viharaya or Tharulengala Monastery,Heritage,Ampara,"Tharulengala Aranya Senasanaya, also known as Karadahela Viharaya, is a serene forest hermitage located in the Hulanuge area of the Ampara District. Like other forest monasteries in the region, it offers a tranquil, secluded setting for Buddhist meditation amid the eastern dry-zone jungle. It remains primarily a spiritual retreat rather than a mainstream tourist attraction.",Curious,,ampara,habuthala viharaya or tharulengala monastery,Ampara
Colombo Lighthouse,Scenic,Colombo,"The Colombo Lighthouse, located within the historic Galle Face and Fort area, has guided ships into Colombo's harbour since the colonial era, with the current tower dating from 1952 replacing an earlier 19th-century clock-tower lighthouse. It stands as a landmark of Colombo's old commercial district alongside other Dutch and British-era buildings. The structure remains an active aid to navigation for vessels approaching the port.",Relaxed,,colombo,colombo lighthouse,Colombo
Bellanwila Temple (Bellanwila Rajamaha Viharaya),Heritage,Colombo,"Bellanwila Rajamaha Viharaya is a historic Buddhist temple on the outskirts of Colombo, believed to date back over a thousand years and closely associated with royal patronage through the centuries. The temple complex includes a sacred Bodhi tree, image houses, and shrines, and it is a major centre for Buddhist ceremonies and almsgiving in the greater Colombo area. It remains an active and popular place of worship for the local community.",Curious,,colombo,bellanwila temple bellanwila rajamaha viharaya,Colombo
Ancient Veheragala of Pulukunawa,Heritage,Ampara,"The Veheragala ruins at Pulukunawa are part of the dense cluster of ancient Buddhist monastic sites scattered across the Ampara District, an area historically known as Digamadulla or Pachinadesa (the Eastern Kingdom). These ruins typically comprise the remains of stupas, rock caves, and inscriptions dating back over two thousand years to the early Anuradhapura period. Many such sites in the region were rediscovered only in recent decades after being reclaimed by jungle for centuries.",Curious,,ampara,ancient veheragala of pulukunawa,Ampara
Veheragala Temple,Heritage,Ampara,"Veheragala is a name shared by several ancient rock monastery ruins across the Ampara District, generally comprising drip-ledge caves, stupa remains, and inscriptions from the early centuries BCE that mark the region's dense concentration of early Buddhist heritage. These forest sites were typically reoccupied by monks in recent decades after long periods of jungle overgrowth. They remain modest, little-visited pilgrimage and archaeological spots.",Curious,,ampara,veheragala temple,Ampara
Koggala Beach,Pristine,Galle,"Koggala is a long stretch of beach on Sri Lanka's south coast near Galle, backed by a large lagoon dotted with small islands, including one home to a Buddhist temple. The beach and lagoon are popular for stilt fishing, boat tours, cinnamon-island visits, and turtle hatcheries, while the calm lagoon waters offer safer swimming than the open sea nearby. The area also has a notable connection to Sri Lankan literature as the setting associated with author Martin Wickramasinghe.",Peaceful,,galle,koggala beach,Galle
The Nagapooshani Amman Kovil,Heritage,Jaffna,"The Nagapooshani Amman Kovil, on Nainativu Island near Jaffna, is one of the 64 Shakti Peethas of the Hindu tradition and one of the oldest and most revered Hindu temples in Sri Lanka, dedicated to the goddess Nagapooshani (Parvati). Uniquely, the island also hosts the Buddhist Nagadeepa Vihara close by, making it a shared pilgrimage site for both Hindus and Buddhists. The temple's colourful gopuram and annual festival draw large numbers of devotees each year.",Curious,,jaffna,the nagapooshani amman kovil,Jaffna
Buddhangala Monastery,Heritage,Ampara,"Buddhangala is an ancient forest monastery about 7 kilometres from Ampara town, spread across five rock outcrops covering roughly 1,280 acres of jungle, with a history believed to stretch back to the 4th century BCE. Rediscovered in the jungle in 1964 by the monk Kalutara Dhammananda, excavations there uncovered a gold relic casket linked to the Buddha's chief disciples Sariputta and Moggallana. The monastery's monks famously refused to abandon the site even during the civil war, and it reopened fully to visitors after 2009.",Curious,,ampara,buddhangala monastery,Ampara
Mullikulamalai,Heritage,Ampara,"Mullikulamalai is one of the numerous ancient Buddhist monastic ruin sites found across Ampara District's forested interior, an area historically part of the Digamadulla kingdom with an unusually high density of archaeological remains. Such sites typically feature the remnants of stupas, meditation caves, and inscriptions from the early Anuradhapura period. Many were reclaimed by jungle for centuries and remain quiet, rarely-visited heritage spots today.",Curious,,ampara,mullikulamalai,Ampara
Unawatuna,Pristine,Galle,"Unawatuna is a crescent-shaped bay near Galle long popular with beachgoers for its calm, reef-protected waters, making it one of the safer swimming beaches on Sri Lanka's south coast. The town has a relaxed backpacker and resort atmosphere with beachfront cafes, guesthouses, and easy access to Galle Fort, snorkeling spots, and the Japanese Peace Pagoda on the headland above the bay. It remains one of the most visited beach towns in southern Sri Lanka.",Peaceful,,galle,unawatuna,Galle
Bandaraduwa,Essence,Ampara,"Bandaraduwa is a rural village area within Ampara District, part of the Eastern Province's countryside known for paddy cultivation and traditional village life rather than a specific landmark attraction. Visitors to the wider Ampara region pass through such villages en route to the district's many archaeological and natural sites. It reflects the everyday agricultural character of the area.",Authentic,,ampara,bandaraduwa,Ampara
Sangamankanda Point,Scenic,Ampara,"Sangamankanda Point is a remote headland at the southeastern tip of Sri Lanka within the Ampara District, marking the point where the Indian Ocean's southern and eastern coastlines meet. It is notable for its lighthouse and its wild, undeveloped coastal scenery near Kumana National Park. The site offers dramatic ocean views and is popular with those exploring the less-visited far southeast of the island.",Relaxed,,ampara,sangamankanda point,Ampara
Meemure,Scenic,Kandy,"Meemure is a remote traditional village deep in the central highlands of Kandy District, accessible mainly by a rough mountain road or trekking trail, and often described as one of Sri Lanka's most isolated inhabited villages. Surrounded by the Knuckles Mountain Range, it retains a traditional way of life with mud-and-thatch houses and is a popular base for hikers exploring the Knuckles' forests, streams, and viewpoints. Its isolation and scenery have made it increasingly popular with adventure travelers in recent years.",Relaxed,,kandy,meemure,Kandy
Dowa Rock Temple,Heritage,Bandarawela,"Dowa Rock Temple, near Bandarawela in the hill country, is notable for an unfinished 4-metre-tall Buddha statue carved directly into the rock face beside the road, believed to date back roughly 2,000 years. The temple also contains a cave shrine with old paintings and smaller Buddha statues. Local tradition links the site's history to ancient trade and pilgrim routes through the surrounding hills.",Curious,,bandarawela,dowa rock temple,Bandarawela
St. Clair's Falls,Scenic,Nuwara Eliya,"St. Clair's Falls, near Talawakele in the central highlands, is one of Sri Lanka's widest waterfalls and is often nicknamed the ""Little Niagara of Sri Lanka"" for its broad, twin-cascade appearance. It drops around 80 metres amid the tea plantations that blanket the surrounding hills, and a viewpoint along the main road offers one of the most photographed waterfall vistas in the hill country. The falls are fed by the Kotmale Oya river.",Relaxed,,nuwara eliya,st clair s falls,Nuwara Eliya
Negombo Beach,Pristine,Negombo,"Negombo Beach is a long stretch of golden sand along Sri Lanka's west coast fronting the town of Negombo, popular for its proximity to the international airport and its lively evening promenade lined with restaurants and hotels. The beach is also a base for the town's traditional outrigger fishing boats and catamarans. Its convenient location makes it a common starting or ending point for visitors' Sri Lanka itineraries.",Peaceful,,negombo,negombo beach,Negombo
Baron's Cap or Thoppigala,Wild,Batticaloa,"Thoppigala, nicknamed ""Baron's Cap"" for its distinctive rounded rock summit, is a forested hill straddling the Batticaloa and Ampara districts that served as a key LTTE stronghold during Sri Lanka's civil war until it was captured by government forces in 2007. Today the site includes a war memorial and museum, and the hilltop offers panoramic views over the surrounding jungle. It draws visitors interested in the recent history of the conflict as well as the scenery.",Adventure,,batticaloa,baron s cap or thoppigala,Batticaloa
The Steaming Hot Water Wells of Mahaoya,Scenic,Ampara,"The Mahaoya hot water wells, about 2 kilometres from Mahaoya town in Ampara District, comprise seven stone-walled wells fed by natural geothermal springs, with the hottest reaching around 56C, making them the hottest springs in Sri Lanka. Local tradition links their origin to the legendary king Ravana, and the mineral-rich waters are widely believed by visitors to have therapeutic benefits for skin conditions and arthritis. Only a couple of the wells are cool enough for bathing, while the others release visible steam.",Relaxed,,ampara,the steaming hot water wells of mahaoya,Ampara
Delft Wild Horses,Wild,Jaffna,"Delft Island (Neduntheevu), off the Jaffna Peninsula, is the only place in Sri Lanka where wild horses roam freely, with several hundred animals believed to be descendants of horses brought by the Portuguese and later Dutch for the regional horse trade. The horses graze semi-wild across the island's flat, coral-strewn grasslands and are protected from removal by law. Their presence, alongside the island's other colonial ruins, makes Delft a distinctive day-trip destination from Jaffna.",Adventure,,jaffna,delft wild horses,Jaffna
Colombo Gold Center,Essence,Colombo,"The Colombo Gold Centre (Sri Lanka Gems and Jewellery Exchange area) is a hub for jewellery shopping in the city, bringing together retailers offering gold, gemstones, and traditional Sri Lankan jewellery craftsmanship. Sri Lanka has a long-established gem and jewellery trade, and such centres cater to both local buyers and tourists seeking sapphires, rubies, and other locally sourced stones. It offers a convenient one-stop destination for gem and jewellery shopping in Colombo.",Authentic,,colombo,colombo gold center,Colombo
Wadinagala,Scenic,Ampara,"Wadinagala is a forested area within Ampara District near the Gal Oya region, part of the dry-zone wilderness that connects several of the district's protected areas and archaeological sites. It lies along routes used to reach nearby hot springs and forest hermitages in the area. The locality is known primarily for its natural, undeveloped landscape rather than a single landmark.",Relaxed,,ampara,wadinagala,Ampara
Samangala Forest Hermitage,Heritage,Ampara,"Samangala is a forest hermitage in the Ampara District, one of many secluded meditation sites established amid the region's dry-zone jungle for monks seeking solitude. Such hermitages typically combine natural rock formations with simple shrines and are valued for their tranquillity rather than grand architecture. It remains primarily a place of quiet Buddhist practice.",Curious,,ampara,samangala forest hermitage,Ampara
Little Adam's Peak,Scenic,Bandarawela,"Little Adam's Peak, near Ella, is a relatively easy hike offering sweeping panoramic views over the Ella Gap, tea plantations, and surrounding hill country, making it one of the most popular short trekking routes in the area. The walk to the summit typically takes under an hour along a well-marked path, making it accessible even for casual walkers. Sunrise and sunset are especially popular times to make the climb for the views.",Relaxed,,bandarawela,little adam s peak,Bandarawela
Okanda Devalaya (A Destination of Mass Pilgrimage),Heritage,Ampara,"Okanda Devalaya, on the coast near Kumana National Park, is a Hindu-Buddhist shrine dedicated to the god Skanda (Kataragama deviyo) and serves as the starting point for the traditional Pada Yatra pilgrimage route that pilgrims walk overland from the east coast to Kataragama. Thousands of devotees gather here annually, especially during the pilgrimage season, making it one of the most important mass-pilgrimage sites in the region. Its remote coastal setting adds to its distinctive character among Sri Lankan shrines.",Curious,,ampara,okanda devalaya a destination of mass pilgrimage,Ampara
The Japanese Peace Pagoda,Heritage,Ampara,"The Japan Sama Viharaya, or Japanese Peace Pagoda, near Ampara town is one of several stupas built across Sri Lanka under the guidance of the Japanese Buddhist monk Nichidatsu Fujii, founder of the Nipponzan-Myohoji order, as a monument to non-violence and world peace. It was constructed in 1988 and draws both local worshippers and visitors seeking a quiet, reflective site. Its white dome is a recognisable landmark on Ampara's outskirts.",Curious,,ampara,the japanese peace pagoda,Ampara
Rambodagalla Buddha Statue,Heritage,Kurunegala,"The Rambodagalla Buddha statue is a large, relatively modern rock-carved standing Buddha image in the Kurunegala area, created in a style reminiscent of ancient rock sculptures such as those at Aukana and Buduruwagala. It has become a notable pilgrimage and photography stop for its scale and setting amid the surrounding countryside. The statue reflects the continuing tradition of large-scale Buddha imagery in Sri Lanka.",Curious,,kurunegala,rambodagalla buddha statue,Kurunegala
Pigeon Island National Park,Pristine,Trincomalee,"Pigeon Island National Park, off the coast of Trincomalee, comprises two small islands surrounded by one of Sri Lanka's best-preserved coral reefs, making it a top destination for snorkeling and diving. The park is named for the rock pigeons that nest on its rocky shores, while its waters are home to reef sharks, sea turtles, and colourful reef fish. It is one of only two marine national parks in Sri Lanka.",Peaceful,,trincomalee,pigeon island national park,Trincomalee
The Dagger Clawed People,Scenic,Ampara,"This entry appears to refer to local folklore or archaeological interpretations tied to the Ampara district's ancient sites, an area rich with legends about early inhabitants, including stories connected to the Vedda people and pre-historic settlements in the region's rock shelters. Such folklore often accompanies the archaeological ruins scattered through Ampara's forests. Specific, verifiable details on this particular site are limited in available sources.",Relaxed,,ampara,the dagger clawed people,Ampara
Piyangala Forest Hermitage,Heritage,Ampara,"Piyangala is a forest hermitage in the Ampara District, one of the many rock-based meditation retreats established in the region's jungle for Buddhist monks. These hermitages generally combine natural caves and boulders with simple shrines built for solitary practice. The site remains a modest, locally significant place of worship.",Curious,,ampara,piyangala forest hermitage,Ampara
Delft Baobab Tree,Wild,Jaffna,"The baobab tree on Delft Island is one of only three such trees of its size in Sri Lanka, a species native to Africa and not naturally found on the island. Believed to be several centuries old, with a hollow trunk large enough to hold several people, it is thought to have been introduced by Arab traders or by the Portuguese, who reportedly used parts of the tree medicinally for horses. It stands as one of Delft Island's most distinctive natural landmarks.",Adventure,,jaffna,delft baobab tree,Jaffna
Shasthrawela,Heritage,Ampara,"Shasthrawela is one of the ancient archaeological sites scattered through the Pottuvil and Ampara area, part of the dense network of ruins historically associated with the Digamadulla kingdom and the region's early Buddhist heritage. Like many such sites, it comprises the remains of monastic structures amid dry-zone jungle. It remains a lesser-known heritage site off the main tourist trail.",Curious,,ampara,shasthrawela,Ampara
Mirissa,Pristine,Galle,"Mirissa is a small crescent bay on the south coast, renowned as one of the world's best spots for whale watching, with blue whales and sperm whales regularly sighted offshore between November and April. Beyond whale watching, the town has a laid-back beach scene with palm-lined sand, surf breaks, and a lively strip of beachfront restaurants and bars. It has grown into one of southern Sri Lanka's most popular tourist towns.",Peaceful,,galle,mirissa,Galle
Angurukaramulla Temple,Heritage,Gampaha,"Angurukaramulla Temple in Negombo is known for its striking 30-metre-long reclining Buddha statue, one of the largest of its kind in the region, along with a colourful image house depicting scenes from Buddhist teachings. The temple's history is believed to date back several centuries, and its vividly painted entrance and statues make it a popular stop for visitors to Negombo. It remains an active place of worship for the local Buddhist community.",Curious,,gampaha,angurukaramulla temple,Gampaha
Pannathgoda Purana Raja Maha Viharaya,Heritage,Ampara,"Pannathgoda Purana Raja Maha Viharaya is an old Buddhist temple within the cluster of historic viharas found across the Ampara District's Digamadulla region, an area with a long-documented Buddhist presence dating back over two thousand years. Like many such rural temples, it combines an active place of worship with older shrine structures. It remains primarily significant to local devotees.",Curious,,ampara,pannathgoda purana raja maha viharaya,Ampara
